State,Facility Name,Facility ID (ORISPL),Unit ID,Caveat
"CO","Pueblo Airport Generating Station","56998","CT04","Unit ID change from CT4A to CT04",
"TX","Sandy Creek Energy Station","56611","S01","Unit ID change from 1 to S01",
"TX","Nacogdoches Generating Facility","55708","BFB-1","Unit ID change from HRSG-1 to BFB-1",
"TX","Nacogdoches Generating Facility","55708","BFB-1","Unit ID change from BLR1 to BFB-1",
"TX","Nacogdoches Generating Facility","55708","CT1","Unit ID change from HRSG-2 to CT1",
"MO","Chillicothe","2122","GT1A","Unit ID change from GT1 to GT1A",
"MO","Chillicothe","2122","GT2A","Unit ID change from GT2 to GT2A",
"NY","Bethpage Energy Center","50292","GT3","Unit ID change from 3 to GT3",
"WI","West Campus Cogeneration Facility","7991","U1","Unit ID change from B01 to U1",
"WI","West Campus Cogeneration Facility","7991","U2","Unit ID change from B02 to U2",
"AZ","Santan","8068","6A","Unit ID change from 6 to 6A",
"WV","Morgantown Energy Facility","10743","CFB1","Unit ID change from 1 to CFB1",
"WV","Morgantown Energy Facility","10743","CFB2","Unit ID change from 2 to CFB2",
"MN","Northshore Mining Silver Bay Power","10849","PB1","Unit ID change from 1 to PB1",
"MN","Northshore Mining Silver Bay Power","10849","PB2","Unit ID change from 2 to PB2",
"FL","Intercession City","8049","3A","Unit ID change from P3 to 3A",
"FL","Intercession City","8049","1A","Unit ID change from P1 to 1A",
"FL","Intercession City","8049","4A","Unit ID change from P4 to 4A",
"FL","Intercession City","8049","5A","Unit ID change from P5 to 5A",
"FL","Intercession City","8049","6A","Unit ID change from P6 to 6A",
"FL","Intercession City","8049","2A","Unit ID change from P2 to 2A",
"OH","West Lorain","2869","1B","Unit ID change from CT1B to 1B",
"OH","West Lorain","2869","1A","Unit ID change from CT1A to 1A",
"NC","Craven County Wood Energy","10525","ES5A","Unit ID change from 4A to ES5A",
"CA","Riverside Energy Resource Center","56143","1","Unit ID change from UNIT1 to 1",
"CA","Riverside Energy Resource Center","56143","2","Unit ID change from UNIT2 to 2",
"IN","Sugar Creek Generating Station","55364","CT12","Unit ID change from 00CT12 to CT12",
"IN","Sugar Creek Generating Station","55364","CT21","Unit ID change from 00CT21 to CT21",
"IN","Sugar Creek Generating Station","55364","CT22","Unit ID change from 00CT22 to CT22",
"IN","Sugar Creek Generating Station","55364","CT11","Unit ID change from 00CT11 to CT11",
"CA","Otay Mesa Energy Center, LLC","55345","CTG-2","Unit ID change from 0CTGZ2 to CTG-2",
"TX","Colorado Bend Energy Center","56350","CT2A","Colorado Bend Energy Center (ORISPL 56350) Unit CT2A in Texas was previously KGen Enterprise Facility (ORISPL 55373) Unit CT5 in Mississippi, and started submitting emissions at the new location in Q1 2008",
"TX","Bacliff Generating Station","60264","BCGT6","Bacliff Generating Station (ORISPL 60264) Unit BCGT6 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-006 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT4","Bacliff Generating Station (ORISPL 60264) Unit BCGT4 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-004 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT5","Bacliff Generating Station (ORISPL 60264) Unit BCGT5 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-005 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT3","Bacliff Generating Station (ORISPL 60264) Unit BCGT3 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-003 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT1","Bacliff Generating Station (ORISPL 60264) Unit BCGT1 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-001 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"TX","Bacliff Generating Station","60264","BCGT2","Bacliff Generating Station (ORISPL 60264) Unit BCGT2 in Texas was previously BTEC New Albany LLC (ORISPL 13213) Unit AA-002 in Mississippi, and started submitting emissions at the new location in Q1 2015",
"LA","Waterford 1 & 2","8056","4","Waterford 1 & 2 (ORISPL 8056) Unit 4 in Louisiana was previously South Glens Falls Energy (ORISPL 10618) Unit 1 in New York, and started submitting emissions at the new location in Q3 2009",
"NY","Ravenswood Steam Plant","880100","BLR002","Ravenswood Steam Plant (ORISPL 880100) Unit BLR002 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR002 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR004","Ravenswood Steam Plant (ORISPL 880100) Unit BLR004 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR004 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR001","Ravenswood Steam Plant (ORISPL 880100) Unit BLR001 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR001 in New York, and started submitting emissions at the new location in Q1 2010",
"NY","Ravenswood Steam Plant","880100","BLR003","Ravenswood Steam Plant (ORISPL 880100) Unit BLR003 in New York was previously Ravenswood Generating Station (ORISPL 2500) Unit BLR003 in New York, and started submitting emissions at the new location in Q1 2010",
"OK","Tinker","63628","5A-1","Tinker (ORISPL 63628) Unit 5A-1 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5A-1 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"OK","Tinker","63628","5B-1","Tinker (ORISPL 63628) Unit 5B-1 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5B-1 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"OK","Tinker","63628","5B-2","Tinker (ORISPL 63628) Unit 5B-2 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5B-2 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"OK","Tinker","63628","5A-2","Tinker (ORISPL 63628) Unit 5A-2 in Oklahoma was previously Mustang (ORISPL 2953) Unit 5A-2 in Oklahoma, and started submitting emissions at the new location in Q1 2021",
"PA","Hunlock Unit 4","56397","4","Hunlock (ORISPL 56397) Unit 4 in Pennsylvania was previously Hunlock Creek Energy Center (ORISPL 3176) Unit 4 in Pennsylvania, and started submitting emissions at the new location in Q1 2006",
"PA","ETMT Marcus Hook Terminal","880107","AB01","ETMT Marcus Hook Terminal (ORISPL 880107) Unit AB01 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB01 in Pennsylvania, and started submitting emissions at the new location in Q4 2016",
"PA","ETMT Marcus Hook Terminal","880107","AB02","ETMT Marcus Hook Terminal (ORISPL 880107) Unit AB02 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB02 in Pennsylvania, and started submitting emissions at the new location in Q4 2016",
"PA","ETMT Marcus Hook Terminal","880107","AB04","ETMT Marcus Hook Terminal (ORISPL 880107) Unit AB04 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB04 in Pennsylvania, and started submitting emissions at the new location in Q4 2016",
"PA","ETMT Marcus Hook Terminal","880107","AB03","ETMT Marcus Hook Terminal (ORISPL 880107) Unit AB03 in Pennsylvania was previously Marcus Hook Energy, LP (ORISPL 55801) Unit AB03 in Pennsylvania, and started submitting emissions at the new location in Q4 2016",
"TX","Carbon Capture Plant","58378","CTHRSG","Carbon Capture Plant (ORISPL 58378) Unit CTHRSG in Texas was previously W A Parish (ORISPL 3470) Unit CTSC in Texas, and started submitting emissions at the new location in Q1 2017",
"WY","Neil Simpson II (CT2)","55477","CT2","Neil Simpson II (ORISPL 55477) Unit CT2 in Wyoming was previously Neil Simpson II (ORISPL 7504) Unit CT2 in Wyoming, and started submitting emissions at the new location in Q3 2001",
"MS","Crossroads Energy Center (CPU)","55395","CT01","Unit ID change from CT-01 to CT01",
"MS","Crossroads Energy Center (CPU)","55395","CT02","Unit ID change from CT-02 to CT02",
"MS","Crossroads Energy Center (CPU)","55395","CT04","Unit ID change from CT-04 to CT04",
"MS","Crossroads Energy Center (CPU)","55395","CT03","Unit ID change from CT-03 to CT03",
"IN","Connersville Peaking Station","1002","2A","Unit ID change from CT2 to 2A",
"IN","Connersville Peaking Station","1002","1A","Unit ID change from CT1 to 1A",
"LA","Perryville Power Station","55620","1-1","Unit ID change from CT1 to 1-1",
"LA","Perryville Power Station","55620","1-2","Unit ID change from CT2 to 1-2",
"LA","Perryville Power Station","55620","2-1","Unit ID change from CT3 to 2-1",
"NY","Hawkeye Energy Greenport, LLC","55969","U-01","Unit ID change from TURB1 to U-01",
"OR","Port Westward","56227","PWEU1","Unit ID change from PW1 to PWEU1",
"TX","South Houston Green Power Site","55470","EPN801","Unit ID change from COGTR1 to EPN801",
"TX","South Houston Green Power Site","55470","EPN802","Unit ID change from COGTR2 to EPN802",
"TX","South Houston Green Power Site","55470","EPN803","Unit ID change from COGTR3 to EPN803",
"AL","WestRock CP, LLC","880101","PB3","Unit ID change from 1 to PB3",
"AR","Oswald Generating Station","55221","G1","Unit ID change from SN1 to G1",
"AR","Oswald Generating Station","55221","G2","Unit ID change from SN2 to G2",
"AR","Oswald Generating Station","55221","G3","Unit ID change from SN3 to G3",
"AR","Oswald Generating Station","55221","G4","Unit ID change from SN4 to G4",
"AR","Oswald Generating Station","55221","G5","Unit ID change from SN5 to G5",
"AR","Oswald Generating Station","55221","G6","Unit ID change from SN6 to G6",
"AR","Oswald Generating Station","55221","G7","Unit ID change from SN7 to G7",
"IL","Lemont Refinery","880076","431B25","Unit ID change from 430B25 to 431B25",
"MS","Red Hills Generation Facility","55076","AA001","Unit ID change from AA-001 to AA001",
"MS","Red Hills Generation Facility","55076","AA002","Unit ID change from AA-002 to AA002",
"MS","Red Hills Generation Facility","55076","AA004","Unit ID change from AA-004 to AA004",
"MS","Red Hills Generation Facility","55076","AA003","Unit ID change from AA-003 to AA003",
"FL","Santa Rosa Energy Center","55242","CT-1","Unit ID change from COG01 to CT-1",
"NY","Astoria Gas Turbine Power","55243","CT4-1A","Unit ID change from CT04-1 to CT4-1A",
"NY","Astoria Gas Turbine Power","55243","CT2-4A","Unit ID change from CT02-4 to CT2-4A",
"NY","Astoria Gas Turbine Power","55243","CT3-3A","Unit ID change from CT03-3 to CT3-3A",
"NY","Astoria Gas Turbine Power","55243","CT3-4A","Unit ID change from CT03-4 to CT3-4A",
"NY","Astoria Gas Turbine Power","55243","CT4-3A","Unit ID change from CT04-3 to CT4-3A",
"NY","Astoria Gas Turbine Power","55243","CT4-4A","Unit ID change from CT04-4 to CT4-4A",
"NY","Astoria Gas Turbine Power","55243","CT4-2A","Unit ID change from CT04-2 to CT4-2A",
"NY","Astoria Gas Turbine Power","55243","CT3-2A","Unit ID change from CT03-2 to CT3-2A",
"NY","Astoria Gas Turbine Power","55243","CT2-1A","Unit ID change from CT02-1 to CT2-1A",
"NY","Astoria Gas Turbine Power","55243","CT2-2A","Unit ID change from CT02-2 to CT2-2A",
"NY","Astoria Gas Turbine Power","55243","CT2-3A","Unit ID change from CT02-3 to CT2-3A",
"NY","Astoria Gas Turbine Power","55243","CT3-1A","Unit ID change from CT03-1 to CT3-1A",
"UT","Nebo Power Station","56177","U1","Unit ID change from 1 to U1",
"TX","Cottonwood Energy Project","55358","CT4","Unit ID change from 000CT4 to CT4",
"TX","Cottonwood Energy Project","55358","CT1","Unit ID change from 000CT1 to CT1",
"TX","Cottonwood Energy Project","55358","CT2","Unit ID change from 000CT2 to CT2",
"TX","Cottonwood Energy Project","55358","CT3","Unit ID change from 000CT3 to CT3",
"MI","Eckert Station","1831","14","Unit ID change from MP14 to 14",
"MO","John Twitty Energy Center","6195","CT2B","Unit ID change from GT2B to CT2B",
"MO","John Twitty Energy Center","6195","CT2A","Unit ID change from GT2A to CT2A",
"MO","John Twitty Energy Center","6195","CT1A","Unit ID change from GT1A to CT1A",
"MO","John Twitty Energy Center","6195","CT1B","Unit ID change from GT1B to CT1B",
"MT","Yellowstone Energy Limited Partnership","50931","BLR1","Unit ID change from BLRS to BLR1",
"LA","Teche Power Station","1400","4","Unit ID change from CT-01 to 4",
"AZ","APS West Phoenix Power Plant","117","CC5A","Unit ID change from CC5 to CC5A",
"WI","Germantown Power Plant","6253","P31","Unit ID change from 2 to P31",
"WI","Germantown Power Plant","6253","P32","Unit ID change from 3 to P32",
"WI","Germantown Power Plant","6253","P33","Unit ID change from 4 to P33",
"WI","Germantown Power Plant","6253","P30","Unit ID change from 1 to P30",
"IN","Wheatland Generating Facility LLC","55224","EU-01","Unit ID change from CTG-1 to EU-01",
"IN","Wheatland Generating Facility LLC","55224","EU-03","Unit ID change from CTG-3 to EU-03",
"IN","Wheatland Generating Facility LLC","55224","EU-02","Unit ID change from CTG-2 to EU-02",
"IN","Wheatland Generating Facility LLC","55224","EU-04","Unit ID change from CTG-4 to EU-04",
"NV","Chuck Lenzie Generating Station","55322","CTG-1","Unit ID change from CTG1 to CTG-1",
"NV","Chuck Lenzie Generating Station","55322","CTG-3","Unit ID change from CTG3 to CTG-3",
"NV","Chuck Lenzie Generating Station","55322","CTG-2","Unit ID change from CTG2 to CTG-2",
"NV","Chuck Lenzie Generating Station","55322","CTG-4","Unit ID change from CTG4 to CTG-4",
"NV","Walter M. Higgins III Generating Station","55687","BHG1","Unit ID change from BHN1 to BHG1",
"NV","Walter M. Higgins III Generating Station","55687","BHG2","Unit ID change from BHN2 to BHG2",
"NJ","Linden Generating Station","2406","1101","Unit ID change from 101 to 1101",
"NJ","Linden Generating Station","2406","1201","Unit ID change from 102 to 1201",
"NJ","Linden Generating Station","2406","2101","Unit ID change from 201 to 2101",
"NJ","Linden Generating Station","2406","2201","Unit ID change from 202 to 2201",
"IL","Aurora","55279","AGS01","Unit ID change from AGS1 to AGS01",
"IL","Aurora","55279","AGS04","Unit ID change from AGS4 to AGS04",
"IL","Aurora","55279","AGS09","Unit ID change from AGS9 to AGS09",
"IL","Aurora","55279","AGS07","Unit ID change from AGS7 to AGS07",
"IL","Aurora","55279","AGS05","Unit ID change from AGS5 to AGS05",
"IL","Aurora","55279","AGS02","Unit ID change from AGS2 to AGS02",
"IL","Aurora","55279","AGS08","Unit ID change from AGS8 to AGS08",
"IL","Aurora","55279","AGS03","Unit ID change from AGS3 to AGS03",
"IL","Aurora","55279","AGS06","Unit ID change from AGS6 to AGS06",
"PA","Helix Ironwood LLC","55337","0001","Unit ID change from 1 to 0001",
"PA","Helix Ironwood LLC","55337","0002","Unit ID change from 2 to 0002",
"FL","Martin","6043","PMR8C","Unit ID change from MRCT8A to PMR8C",
"FL","Martin","6043","PMR8D","Unit ID change from MRCT8B to PMR8D",
"WI","Rock River","4057","CT3","Unit ID change from 3 to CT3",
"IL","Morris Cogeneration, LLC","55216","CTG3","Unit ID change from CT-3 to CTG3",
"IL","Morris Cogeneration, LLC","55216","CTG1","Unit ID change from CT-1 to CTG1",
"IL","Morris Cogeneration, LLC","55216","CTG2","Unit ID change from CT-2 to CTG2",
"NY","Valley Energy Center","56940","1","Unit ID change from 0001 to 1",
"NY","Valley Energy Center","56940","2","Unit ID change from 0002 to 2",
"TX","Greens Bayou","3464","GBY81","Unit ID change from 81 to GBY81",
"TX","Greens Bayou","3464","GBY82","Unit ID change from 82 to GBY82",
"TX","Greens Bayou","3464","GBY84","Unit ID change from 84 to GBY84",
"TX","Greens Bayou","3464","GBY83","Unit ID change from 83 to GBY83",
"TX","Greens Bayou","3464","GBY73","Unit ID change from 73 to GBY73",
"TX","Greens Bayou","3464","GBY74","Unit ID change from 74 to GBY74",
"MS","Moselle Generation Complex","2070","5","Unit ID change from **5 to 5",
"AZ","Mesquite Generating Station","55481","5","Unit ID change from 3 to 5",
"AZ","Mesquite Generating Station","55481","6","Unit ID change from 4 to 6",
"TX","Odessa Ector Generating Station","55215","GT2","Unit ID change from HRSG2 to GT2",
"TX","Odessa Ector Generating Station","55215","GT3","Unit ID change from HRSG3 to GT3",
"TX","Odessa Ector Generating Station","55215","GT4","Unit ID change from HRSG4 to GT4",
"TX","Odessa Ector Generating Station","55215","GT1","Unit ID change from HRSG1 to GT1",
"MS","Ackerman Combined Cycle Plant","55694","AA-002","Unit ID change from CT-2 to AA-002",
"MS","Ackerman Combined Cycle Plant","55694","AA-001","Unit ID change from CT-1 to AA-001",
"IN","St. Joseph Energy Center LLC","57794","CTG02A","Unit ID change from CCCT2 to CTG02A",
"IN","St. Joseph Energy Center LLC","57794","CTG01B","Unit ID change from CCCT3 to CTG01B",
"IN","St. Joseph Energy Center LLC","57794","CTG02B","Unit ID change from CCCT1 to CTG02B",
"IN","St. Joseph Energy Center LLC","57794","CTG01A","Unit ID change from CCCT4 to CTG01A",
"FL","Northside","667","GT4","Unit ID change from 4 to GT4",
"FL","Northside","667","GT5","Unit ID change from 5 to GT5",
"FL","Northside","667","GT6","Unit ID change from 6 to GT6",
"GA","Bowen","703","6A","Unit ID change from 6 to 6A",
"VA","Potomac Energy Center, LLC","59004","CT2","Unit ID change from GEN2 to CT2",
"VA","Potomac Energy Center, LLC","59004","CT1","Unit ID change from GEN1 to CT1",
"NY","Empire Generating Co, LLC","56259","CT-1","Unit ID change from 1 to CT-1",
"NY","Empire Generating Co, LLC","56259","CT-2","Unit ID change from 2 to CT-2",
"NM","Bluffview Power Plant","55977","CTG-1","Unit ID change from CTG1 to CTG-1",
"IA","Summit Lake","1206","1G","Unit ID change from GT1 to 1G",
"IL","Rockford II Energy Center","55936","U1","Unit ID change from 001 to U1",
"VA","RockTenn West Point Mill","10017","002","Unit ID change from 2 to 002",
"OH","Dresden Energy Facility","55350","1B","Unit ID change from 2 to 1B",
"OH","Dresden Energy Facility","55350","1A","Unit ID change from 1 to 1A",
"FL","Quantum Pasco Power, LP","54424","EU001","Unit ID change from 001 to EU001",
"FL","Quantum Pasco Power, LP","54424","EU002","Unit ID change from 002 to EU002",
"NE","Rokeby","6373","BS1","Unit ID change from 000BS1 to BS1",
"OH","AMP-Ohio Gas Turbines Bowling Green","55262",,"Facility name change from PG&E Bowling Green on 09/22/2003",
"OH","AMP-Ohio Gas Turbines Galion","55263",,"Facility name change from Galion Generating Station on 09/22/2003",
"OH","AMP-Ohio Gas Turbines Napoleon","55264",,"Facility name change from PG&E Napoleon on 09/22/2003",
"OH","Pixelle Specialty Solutions LLC","10244",,"Facility name change from MW Custom Papers, LLC on 07/11/2005",
"OH","Pixelle Specialty Solutions LLC","10244",,"Facility name change from Chillicothe Paper Inc. on 04/21/2006",
"SC","INEOS US Chemicals Company CR Plant","880092",,"Facility name change from BP Cooper River Plant on 11/04/2005",
"PA","Mt. Carmel Cogeneration","10343",,"Facility name change from Foster Wheeler Mt. Carmel on 01/07/2003",
"PA","Hunlock Unit 4","56397",,"Facility name change from Hunlock Unit 4 on 06/21/2006",
"AR","Harry D. Mattison Power Plant","56328",,"Facility name change from Tontitown Power Station on 03/06/2007",
"NY","Richard M Flynn (Holtsville)","7314",,"Facility name change from Richard M Flynn on 01/15/2002",
"CA","CalPeak Power - Vaca Dixon","55499",,"Facility name change from Vaca-Dixon No. 1- Cal Peak Power on 03/04/2002",
"OH","Omega JV2 Hamilton","7782",,"Facility name change from Amp-ohio Hamilton on 12/13/2001",
"OH","Omega JV2 Bowling Green","7783",,"Facility name change from Amp-ohio Bowling Green on 12/13/2001",
"AR","Fulton","7825",,"Facility name change from CT1 on 02/11/2002",
"AR","Fulton","7825",,"Facility name change from Ct1 on 12/13/2001",
"AL","Plant H. Allen Franklin","7710",,"Facility name change from Goat Rock CC on 09/11/2002",
"WV","UCC South Charleston Plant","50151",,"Facility name change from South Charleston Plant on 06/24/2003",
"WV","Altivia Services Institute Facility","880053",,"Facility name change from Aventis Cropscience Institute Plant on 10/19/2004",
"SC","INVISTA S.a.r.l. Camden Plant","880057",,"Facility name change from E.I. Dupont De Nemours on 09/12/2003",
"SC","INVISTA S.a.r.l. Camden Plant","880057",,"Facility name change from DuPont Textiles and Interiors on 11/16/2004",
"MN","Lakefield Junction Generating","7925",,"Facility ID (ORISPL) change from 55140 to 7925",
"CA","Delta Energy Center, LLC","55333",,"Facility ID (ORISPL) change from 54001 to 55333",
"CO","Brush Power Projects","10682",,"Facility ID (ORISPL) change from 55209 to 10682",
"CT","Norwich","581",,"Facility ID (ORISPL) change from 880022 to 581",
"LA","Perryville Power Station","55620",,"Facility ID (ORISPL) change from 7864 to 55620",
"MI","DTE Pontiac North LLC","10111",,"Facility ID (ORISPL) change from 880081 to 10111",
"TN","Brownsville Combustion Turbine Plant","55081",,"Facility ID (ORISPL) change from 2387 to 55081",
"OH","McCracken Power House","50044",,"Facility ID (ORISPL) change from 14013 to 50044",
"NY","Astoria Gas Turbine Power","55243",,"Facility ID (ORISPL) change from 8906 to 55243",
"TX","Sand Hill Energy Center","7900",,"Facility ID (ORISPL) change from 1700 to 7900",
"NY","Pouch Terminal","8053",,"Facility ID (ORISPL) change from 7911 to 8053",
"WI","Sheboygan Falls Energy Facility","56166",,"Facility ID (ORISPL) change from 56186 to 56166",
"ME","Bucksport Generation LLC","50243",,"Facility ID (ORISPL) change from 55180 to 50243",
"TX","Baytown Energy Center","55327",,"Facility ID (ORISPL) change from 55195 to 55327",
"IL","Rockford II Energy Center","55936",,"Facility ID (ORISPL) change from 55461 to 55936",
"NC","Edgecombe Genco, LLC","10384",,"Facility ID (ORISPL) change from 50468 to 10384",
"VA","AdvanSix Resins and Chemicals - Hopewell","880093",,"Facility ID (ORISPL) change from 50232 to 880093",
"CA","Donald Von Raesfeld","56026",,"Facility ID (ORISPL) change from 8058 to 56026",
"DE","Energy Center Dover LLC","10030",,"Facility ID (ORISPL) change from 880002 to 10030",
"OH","ArcelorMittal Cleveland LLC","10398",,"Facility ID (ORISPL) change from 880032 to 10398",
"CT","Waterside Power, LLC","56189",,"Facility ID (ORISPL) change from 880069 to 56189",
"MS","Kemper County","7960",,"Facility ID (ORISPL) change from 7923 to 7960",
"SC","Jasper County Generating Facility","55927",,"Facility ID (ORISPL) change from 7996 to 55927",
"AL","Plant H. Allen Franklin","7710",,"Facility ID (ORISPL) change from 7840 to 7710",
"KS","Chanute 2","1268",,"Facility ID (ORISPL) change from 3355 to 1268",
